PBIUSI,Genus,species,Country,State_Prov,Sec_Subdiv,Locality,Lat,Lon,Start_Date,End_Date,Collector,Sex,Inst_Code,Project,Type,Det_By,Det_Date,Det_History,Spec_Notes,Loc_Notes,Accuracy,Coll_Method,Pres_Method,Spec_Count,Lat_Lon_Method,Lat_Lon_Accuracy,Elev_m,Elev_f,Elev_Det,Trip_Code,Dissections,Illustrations,Measurements,Photos,SEM,DNA,OrigUSI,Family,Subfamily,Tribe,Macro_Habitat,Micro_Habitat,Host_Family,Host_Genus,Host_species,Host_subspecies,Host_Author,Host_Common_Name,Host_Relation,Host_Location,Host_Emergence_Date,Host_with_Specimen
AMNH_BEE 00060206,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,27 Jun 1896,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060207,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,27 Jun 1896,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060268,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,27 Jun 1896,,J. L. Zabriskie,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00030397,Macropis,ciliata,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,25 Jun 1894,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2007,originally as Neoparatype for synonym: M. longilingus Provancher,originally as Neoparatype for synonym: M. longilingus Provancher,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060172,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,25 Jun 1894,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060173,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,25 Jun 1894,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060174,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,25 Jun 1894,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060175,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,25 Jun 1894,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060208,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,25 Jun 1894,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060209,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,25 Jun 1894,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060210,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,25 Jun 1894,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060233,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,25 Jun 1894,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,R. R. Snelling,1994,,AMNH,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060257,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,25 Jun 1894,,J. L. Zabriskie,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060258,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,25 Jun 1894,,J. L. Zabriskie,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060259,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,25 Jun 1894,,J. L. Zabriskie,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060295,Macropis,patellata,USA,New York,Bronx,Van Cortlandt Park,40.8929,-73.8909,22 Jun 1897,,J. L. Zabriskie,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,8,26,Unknown,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060069,Macropis,ciliata,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,22 Jun 1894,,J. L. Zabriskie,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00019608,Macropis,frivaldszkyi,ITALY,Friuli-Venezia Giulia,none,Trieste,45.6486,13.78,20 Jun 1897,,A. Ducke,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,H. Friese,1921,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060068,Macropis,ciliata,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,19 Jun 1897,,J. L. Zabriskie,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060215,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,19 Jun 1895,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,Stage,1966,"confirmed by  J. S. Ascher, 2008",,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060234,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,19 Jun 1895,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,R. R. Snelling,1994,,AMNH,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060269,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,19 Jun 1895,,J. L. Zabriskie,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060277,Macropis,ciliata,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,19 Jun 1895,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060211,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,18 Jun 1894,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060212,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,18 Jun 1894,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060232,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,18 Jun 1894,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,R. R. Snelling,1994,,AMNH,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
UCMS_ENT 00046606,Macropis,patellata,USA,New York,Essex,Keene Valley,44.18972,-73.78639,18 Aug 1893,,"unknown, NYS Museum Collection",Adult Female,NYSM,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2012,,,,,Unknown,Pinned,1,Gazetteer,,393,1289,Gazetteer,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
UCMS_ENT 00055227,Macropis,nuda,USA,New York,Essex,Keene Valley,44.18972,-73.78639,17 Jul 1894,,"unknown,  New York State Museum Collection",Adult Female,NYSM,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2013,,,,,Unknown,Pinned,1,Gazetteer,,393,1289,Gazetteer,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
UCMS_ENT 00046607,Macropis,patellata,USA,New York,Essex,Keene Valley,44.18972,-73.78639,11 Jul 1894,,"unknown, NYS Museum Collection",Adult Male,NYSM,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2012,,,,,Unknown,Pinned,1,Gazetteer,,393,1289,Gazetteer,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060214,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,09 Jun 1894,,J. L. Zabriskie,Adult Female,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060260,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,09 Jun 1894,,J. L. Zabriskie,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060261,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,09 Jun 1894,,J. L. Zabriskie,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060262,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,09 Jun 1894,,J. L. Zabriskie,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060263,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,09 Jun 1894,,J. L. Zabriskie,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
AMNH_BEE 00060264,Macropis,nuda,USA,New York,Kings,Flatbush (Long Island),40.65194,-73.95944,08 Jun 1893,,J. L. Zabriskie,Adult Male,AMNH,"Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)",None,J. S. Ascher,2008,,,,,Netting,Pinned,1,GeoLocate Software,,,,,,NO,NO,NO,NO,NO,,,Melittidae,Melittinae,Macropidini,,,,,,,,,,,,NO
